Date;Type;Site;TimeStart;TimeEnd;Hours;Species;Group;Count;CountPerHour;Comment
20260713;Cannister;Fen;08:30;20:30;12;S_vittatum;Simuliidae;230;19.167;
20260713;Cannister;Fen;08:30;20:30;12;S_rostratum;Simuliidae;11;0.917;
20260713;Cannister;Fen;08:30;20:30;12;Oc_impiger;Culicidae;4;0.333;
20260713;Cannister;Fen;08:30;20:30;12;Oc_nigripes;Culicidae;3;0.250;
20260713;Yeast;Fen;08:30;20:30;12;S_rostratum;Simuliidae;6;0.500;
20260713;Yeast;Fen;08:30;20:30;12;S_vittatum;Simuliidae;26;2.167;
20260713;Yeast;Fen;08:30;20:30;12;Oc_impiger;Culicidae;6;0.500;
20260713;Yeast;Fen;08:30;20:30;12;Oc_nigripes;Culicidae;1;0.083;
20260713;Yeast;Shrub;08:30;20:30;12;S_vittatum;Simuliidae;93;7.750;
20260713;Yeast;Shrub;08:30;20:30;12;S_rostratum;Simuliidae;14;1.167;
20260713;Yeast;Shrub;08:30;20:30;12;Oc_impiger;Culicidae;15;1.250;
20260713;Yeast;Shrub;08:30;20:30;12;Oc_nigripes;Culicidae;5;0.417;
20260713;Cannister;Shrub;08:30;20:30;12;S_vittatum;Simuliidae;420;35.000;
20260713;Cannister;Shrub;08:30;20:30;12;S_rostratum;Simuliidae;21;1.750;
20260713;Cannister;Shrub;08:30;20:30;12;Oc_impiger;Culicidae;16;1.333;
20260713;Cannister;Shrub;08:30;20:30;12;Oc_nigripes;Culicidae;8;0.667;
